sample_id,crop_yield_last_year,current_stock_level,supply_chain_efficiency,import_dependency
0,80,49,72,9
1,63,27,96,7
2,104,81,59,26
3,75,32,94,16
4,94,67,64,28
5,77,42,80,23
6,87,39,79,8
7,89,85,52,28
8,92,71,79,10
9,109,95,86,28
10,67,64,66,34
11,60,36,98,19
12,92,51,64,24
13,81,45,98,21
14,70,59,61,11
15,104,75,67,5
16,70,25,83,37
17,62,100,64,20
18,80,80,83,12
19,68,60,91,33
20,60,70,80,33
21,72,48,77,17
22,86,59,64,34
23,84,93,72,40
24,73,20,67,26
25,72,23,99,13
26,102,68,68,12
27,82,54,73,19
28,98,55,65,36
29,108,90,66,21
30,98,49,82,9
31,100,67,63,10
32,59,58,78,21
33,102,45,75,13
34,66,44,56,36
35,59,29,72,31
36,76,74,86,34
37,83,73,65,40
38,51,37,84,38
39,71,58,66,21
40,102,78,57,21
41,79,92,67,29
42,105,67,75,5
43,88,49,91,17
44,85,73,81,40
45,68,31,91,28
46,78,56,94,24
47,98,94,50,12
48,56,62,80,28
49,85,60,78,32
50,57,26,81,25
51,58,75,57,20
52,50,49,56,29
53,50,61,61,37
54,108,28,90,25
55,66,72,90,26
56,51,42,67,35
57,61,24,89,9
58,52,77,58,25
59,81,41,52,7
60,98,65,54,35
61,88,20,91,24
62,52,92,83,25
63,64,98,84,6
64,77,38,70,32
65,52,47,79,24
66,59,86,86,15
67,50,27,79,16
68,92,61,74,33
69,108,66,93,21
70,92,87,80,24
71,85,92,83,28
72,103,48,53,10
73,72,77,88,24
74,93,90,53,29
75,60,35,80,29
76,86,100,100,20
77,101,44,85,22
78,71,71,59,6
79,54,40,71,15
80,84,30,82,5
81,81,88,75,12
82,70,43,54,7
83,107,77,73,6
84,65,33,95,7
85,105,80,93,11
86,58,50,83,27
87,103,100,88,27
88,108,31,96,10
89,94,52,68,14
90,72,93,72,33
91,104,32,85,17
92,102,31,97,7
93,52,38,53,27
94,110,20,85,23
95,75,55,76,10
96,54,35,98,40
97,57,72,63,22
98,93,82,58,22
99,92,41,100,37
100,71,83,73,26
101,73,92,70,16
102,97,57,96,29
103,86,77,74,22
104,100,64,55,31
105,53,62,77,33
106,75,90,99,27
107,86,96,77,31
108,91,92,50,12
109,109,84,57,22
110,58,69,50,23
111,63,66,51,22
112,53,56,84,20
113,64,84,50,22
114,77,22,79,19
115,94,58,85,16
116,57,36,100,16
117,60,41,63,20
118,77,83,68,19
119,81,92,77,30
120,59,56,52,32
121,79,69,73,22
122,100,92,53,28
123,88,88,54,34
124,67,78,75,15
125,84,100,58,7
126,80,25,74,36
127,68,23,79,40
128,73,74,73,34
129,96,79,78,32
130,100,44,96,8
131,66,63,52,20
