sample_id,current_usage_mw,avg_usage_last_year,peak_demand_mw,grid_stability,renewable_percentage
0,1123.81,879.87,919.24,90.04,14.58
1,678.97,940.23,1015.47,99.13,36.85
2,955.12,863.9,1441.31,98.67,27.07
3,1261.64,1050.23,973.65,85.66,26.83
4,1281.32,821.84,957.64,91.51,16.29
5,1237.88,961.97,1221.24,92.89,27.33
6,884.48,993.97,942.34,76.44,35.81
7,862.64,779.32,947.57,86.73,26.75
8,1257.14,798.78,1307.31,88.68,26.04
9,1115.99,721.79,1438.41,93.58,12.95
10,1217.94,966.93,1304.41,88.22,20.1
11,952.2,724.7,1190.29,89.03,36.67
12,781.25,1037.64,1035.85,96.78,36.76
13,1202.73,709.39,1379.05,79.38,27.33
14,1149.01,933.43,989.83,92.26,25.99
15,1175.04,958.49,968.4,89.83,27.58
16,722.62,963.17,911.33,99.89,21.68
17,830.84,1047.29,924.48,76.89,31.0
18,722.65,929.46,1138.86,82.35,13.55
19,1165.53,1095.12,1341.89,86.07,36.97
20,1259.06,862.93,1293.74,81.57,18.62
21,617.68,825.14,1221.78,93.46,23.66
22,974.01,914.83,1334.89,94.77,26.5
23,674.04,744.79,1058.37,80.01,18.81
24,921.07,1035.23,1338.19,91.51,38.56
25,1282.03,906.95,1123.9,84.01,34.98
26,760.81,922.52,1241.64,76.44,28.51
27,1154.68,867.66,1123.31,87.92,39.42
28,810.39,869.77,1028.52,92.48,36.09
29,642.68,802.52,1331.81,94.46,19.24
30,607.81,859.54,1287.0,90.69,26.97
31,1257.09,720.07,1049.54,92.96,23.26
32,868.41,721.64,1082.85,84.98,14.5
33,1025.66,1017.29,1053.8,89.04,27.5
34,1187.05,760.43,1304.09,80.55,23.91
35,750.84,775.02,1384.56,96.75,14.29
36,1294.31,817.78,1442.54,81.77,27.13
37,686.39,1010.36,1438.62,98.87,26.26
38,1112.82,843.82,1381.75,85.2,32.29
39,964.19,952.88,1446.68,79.35,25.01
40,825.11,1008.44,1455.59,95.44,28.5
41,857.76,1061.37,1402.74,89.2,16.27
42,1018.89,967.5,1222.64,95.87,37.08
43,1165.51,774.04,1185.54,80.32,19.18
44,708.53,931.19,1308.96,88.2,35.89
45,1151.92,907.58,944.48,85.16,34.52
46,1051.23,950.86,1020.87,80.27,18.32
47,957.85,954.59,1064.82,94.8,24.13
48,734.91,763.92,937.6,99.38,28.13
49,1055.02,921.2,1487.93,91.54,15.18
50,985.57,860.32,1322.82,96.91,25.74
51,1285.87,857.2,1188.85,89.95,30.41
52,1008.05,1047.49,1242.43,97.31,36.7
53,701.83,772.67,1051.46,85.11,12.87
54,1186.73,864.39,1320.67,94.82,23.89
55,1289.46,810.38,1018.48,91.03,38.57
56,771.13,817.4,1475.99,77.15,25.39
57,775.97,728.39,931.82,82.65,31.9
58,711.66,941.11,1239.9,80.11,18.0
59,1027.77,708.37,1121.51,76.28,22.41
60,889.07,902.34,968.66,82.11,38.22
61,1279.74,839.65,1187.16,83.79,37.06
62,611.83,1025.77,1161.47,90.0,37.72
63,1113.11,849.44,1235.26,92.3,11.6
64,950.52,967.49,1242.76,87.11,37.97
65,960.1,712.11,1364.98,75.84,23.5
66,1227.6,1053.18,1166.89,97.91,14.4
67,1276.48,978.28,1272.61,93.79,20.2
68,1229.15,802.38,1277.74,96.98,14.69
69,972.98,703.47,1018.43,78.62,17.05
70,690.45,1062.1,1139.12,98.49,36.99
71,625.32,907.79,1073.95,99.77,20.61
72,617.18,1026.05,1215.87,81.73,20.86
73,1149.55,1034.28,1470.21,92.29,17.44
74,835.42,1048.55,1361.49,77.13,22.72
75,906.03,1000.49,1075.27,97.93,15.6
76,771.61,891.2,1438.91,97.81,37.8
77,1172.44,861.22,1213.88,80.23,13.07
78,903.39,792.16,1232.79,99.98,11.14
79,742.44,1027.81,934.42,93.33,34.24
80,632.57,963.29,1139.33,89.16,25.91
81,1227.3,963.03,1444.44,98.68,20.44
82,783.68,1055.64,1498.39,98.63,28.65
83,1127.49,1059.15,1213.98,83.68,23.53
84,610.24,846.45,1167.66,94.82,27.47
85,1024.69,800.56,1265.57,89.54,29.14
86,1152.02,828.94,1282.57,96.22,27.88
87,894.84,1072.97,1291.58,76.49,16.03
88,917.15,987.76,1105.36,79.26,14.19
89,937.59,889.76,1221.81,77.08,20.77
90,1283.83,722.79,1091.93,83.28,39.61
91,925.04,817.79,929.92,88.94,16.3
92,651.13,980.7,967.08,88.21,14.61
93,1298.7,989.2,1268.84,97.99,33.14
94,1279.28,856.61,1002.09,85.3,27.24
95,689.69,993.13,1159.16,89.56,19.56
96,879.41,815.51,1387.39,79.82,25.66
97,1178.29,975.2,1033.96,97.69,10.8
98,712.93,992.8,1008.81,81.03,26.0
99,1201.09,755.62,1208.45,97.49,29.19
100,1138.02,1028.03,914.56,82.03,32.74
101,1102.84,1038.68,1221.19,90.45,27.71
102,1022.16,1000.61,920.62,83.46,24.91
103,685.52,836.09,980.48,92.75,37.13
104,960.65,819.11,927.7,99.77,29.14
105,976.48,956.8,1485.72,86.75,17.33
106,703.21,911.2,974.07,94.61,32.84
107,937.0,871.49,1122.3,81.46,26.26
108,900.88,835.37,1156.3,81.82,26.15
109,693.68,1026.33,1191.9,89.24,22.03
110,919.71,779.5,1075.55,83.11,36.94
111,1215.18,983.8,1094.78,92.98,20.99
112,1193.86,818.39,1453.52,78.36,36.56
