sample_id,roads_needing_repair,water_supply_level,sewer_system_health,emergency_response_time,pending_maintenance_tasks
0,21,78.95,91.43,8.97,11
1,20,44.4,90.41,17.62,54
2,35,72.39,95.5,16.06,11
3,28,38.92,61.16,12.96,15
4,39,82.54,63.72,15.77,55
5,33,29.49,93.88,23.11,54
6,26,47.67,74.84,23.47,29
7,17,56.3,87.81,8.35,42
8,23,75.26,94.67,20.37,29
9,10,86.37,90.92,13.48,44
10,35,87.2,74.39,14.38,46
11,12,45.65,95.52,5.72,50
12,10,24.79,90.5,10.5,58
13,43,79.28,67.64,21.53,31
14,35,86.42,63.65,16.9,32
15,40,92.0,77.93,16.5,62
16,25,65.76,72.06,14.67,21
17,5,76.98,82.97,5.08,68
18,37,97.79,60.49,8.45,51
19,42,59.39,80.46,10.2,63
20,9,28.22,89.91,7.38,22
21,26,22.79,92.5,19.21,22
22,18,82.63,95.5,7.55,52
23,22,60.61,64.63,9.84,18
24,27,37.52,72.44,23.31,65
25,38,22.18,63.56,10.04,32
26,33,25.53,90.56,14.33,53
27,16,59.79,81.53,8.76,60
28,35,91.09,89.38,11.53,14
29,17,42.05,70.7,9.13,16
30,15,56.54,94.2,6.82,14
31,38,83.11,76.08,13.2,11
32,24,29.56,69.95,7.03,46
33,45,44.96,89.08,17.65,36
34,28,90.05,94.17,11.82,54
35,36,59.29,99.54,18.39,46
36,12,97.09,77.08,20.54,15
37,29,91.5,70.39,15.66,37
38,41,77.28,63.24,21.96,70
39,35,86.39,76.78,5.52,18
40,26,37.03,62.73,7.53,30
41,33,77.32,88.15,10.03,68
42,7,94.96,89.72,6.87,51
43,25,86.75,83.58,17.19,55
44,19,79.01,85.31,18.53,28
45,50,83.41,80.22,24.02,11
46,33,30.74,76.99,16.53,24
47,8,27.65,67.04,15.24,53
48,29,89.64,87.59,22.63,37
49,30,21.35,80.54,23.96,39
50,5,21.36,60.63,21.36,70
51,48,54.22,86.2,15.7,15
52,8,84.9,60.8,13.13,56
53,42,51.51,61.89,11.21,40
54,20,52.38,94.41,6.14,30
55,40,95.04,71.61,17.55,29
56,9,58.35,89.69,21.02,10
57,15,37.0,99.04,23.24,44
58,29,65.46,81.75,11.59,37
59,12,73.71,67.88,6.75,55
60,22,94.02,84.99,13.42,49
61,32,67.6,91.19,5.94,29
62,8,91.88,65.75,6.6,59
63,26,38.64,72.08,21.24,25
64,12,34.4,90.95,21.0,23
65,50,24.15,71.58,19.78,62
66,19,20.47,75.23,22.85,17
