sample_id,buses_operating,total_buses,avg_vehicles_per_hour,peak_hour_multiplier,congested_west,congested_south,congested_east,congested_north,congested_central
0,170,300,4687,1.26,1,1,0,1,1
1,188,300,6906,1.25,1,1,1,1,0
2,246,300,3724,2.0,1,1,1,0,0
3,204,300,7372,1.78,0,0,1,1,1
4,275,300,5316,1.87,1,0,1,1,0
5,201,300,6630,2.17,0,1,0,0,1
6,280,300,4994,1.63,1,0,1,0,1
7,245,300,4394,1.95,0,1,0,0,1
8,230,300,5621,2.07,0,0,0,1,1
9,214,300,8175,1.84,0,1,0,0,0
10,248,300,6140,1.31,0,1,1,0,1
11,217,300,7302,1.26,0,0,1,0,1
12,169,300,4163,1.37,0,1,0,1,1
13,279,300,5934,1.49,0,0,1,1,0
14,182,300,4610,1.94,0,1,1,0,0
15,271,300,5420,2.19,1,0,1,0,0
16,186,300,7405,1.83,1,1,1,1,0
17,171,300,4529,1.29,1,0,1,0,0
18,156,300,8522,1.42,0,1,1,1,0
19,153,300,3921,1.61,0,0,1,0,1
20,141,300,5212,2.17,1,1,0,1,1
21,137,300,8484,1.62,0,0,0,1,1
22,237,300,5480,1.81,0,1,0,1,1
23,214,300,7616,2.04,1,1,0,0,0
24,231,300,5296,1.21,1,1,0,1,1
25,258,300,7744,2.01,0,0,1,1,1
26,177,300,6072,1.76,0,1,0,0,0
27,240,300,8939,1.53,0,1,0,1,1
28,254,300,8777,1.5,1,0,0,0,1
29,270,300,6578,2.04,0,1,1,0,1
30,240,300,8508,1.68,0,1,1,1,1
31,230,300,3061,1.88,0,1,1,1,1
32,189,300,8789,1.86,0,1,0,0,0
33,142,300,5682,1.57,0,1,0,0,0
34,121,300,5567,1.74,0,0,1,0,0
35,268,300,5532,2.06,0,1,0,1,1
36,207,300,7896,1.96,0,0,1,1,1
37,251,300,6566,2.02,1,0,0,1,1
38,239,300,6025,1.95,1,0,1,0,1
39,207,300,6130,1.58,1,0,0,1,0
40,152,300,4716,1.42,1,1,0,0,0
41,267,300,7641,2.15,0,1,1,1,0
42,236,300,6334,1.89,0,1,1,0,0
43,260,300,3254,1.55,1,0,1,1,1
44,158,300,8976,1.44,0,0,0,1,1
45,235,300,3798,1.3,0,0,0,1,0
46,129,300,8360,1.29,0,1,1,0,0
47,242,300,7292,1.45,1,1,1,0,0
48,126,300,4708,1.26,0,0,1,0,1
49,120,300,8714,2.13,0,1,0,1,0
50,200,300,3234,1.51,0,0,1,1,0
51,207,300,8592,1.78,1,1,1,1,1
52,157,300,5854,1.24,0,1,1,0,1
53,122,300,4314,1.87,1,1,1,1,0
54,165,300,8040,1.97,1,1,0,0,1
55,122,300,5498,1.82,1,1,1,1,0
56,133,300,5344,2.16,1,1,1,0,0
57,154,300,7068,1.52,1,1,1,0,1
58,273,300,6881,2.09,1,1,0,0,1
59,256,300,7182,2.0,0,0,1,0,0
60,209,300,6416,1.52,0,1,0,0,1
61,246,300,5304,1.82,1,0,0,0,0
62,138,300,3472,1.95,1,0,0,0,0
63,269,300,6474,1.97,1,1,0,0,1
64,270,300,6526,2.17,0,1,1,1,0
65,260,300,5923,1.74,1,0,0,0,0
66,160,300,3460,1.47,0,1,0,0,1
67,240,300,3479,2.18,0,0,1,1,0
68,244,300,4822,1.96,1,1,0,0,0
69,163,300,5865,2.14,0,0,0,1,0
70,248,300,8043,1.8,1,1,0,0,1
71,184,300,4463,1.26,0,1,1,1,1
72,201,300,7835,2.15,0,0,1,1,1
73,152,300,8966,1.4,1,0,0,0,0
74,190,300,5155,2.07,0,0,0,1,0
75,225,300,5027,1.95,1,1,1,1,1
76,248,300,3594,1.39,0,0,0,1,0
77,131,300,5828,1.67,0,0,0,1,1
78,124,300,7360,1.96,0,0,0,0,1
79,135,300,6539,1.45,1,0,0,0,1
80,279,300,5906,1.29,0,0,0,0,1
81,266,300,7245,1.34,0,0,0,1,1
82,217,300,4110,1.54,1,1,0,1,1
83,137,300,6959,1.5,1,1,0,1,1
84,160,300,6637,1.28,1,1,0,1,0
85,202,300,4587,1.91,0,1,1,0,0
86,206,300,4450,1.59,1,0,1,1,0
87,177,300,3847,1.67,0,1,1,0,0
88,150,300,6620,2.17,1,1,1,0,0
89,140,300,3762,1.9,1,1,1,0,1
90,243,300,4190,1.97,1,1,1,1,1
91,161,300,7524,1.37,0,0,0,0,1
92,208,300,4288,1.39,1,0,1,0,0
93,178,300,6579,1.71,1,0,0,0,1
94,254,300,3931,2.16,0,0,0,1,0
95,210,300,6587,1.81,1,1,0,1,0
