sample_id,temperature_c,humidity,wind_speed_kmh,rainfall_mm,rainfall_last_12_months_mm,recent_storm_or_flood,aqi
0,25.71,37.23,10.99,0.0,854.24,0,175.56
1,30.71,65.75,5.87,14.37,1466.74,0,133.82
2,36.44,59.76,2.86,14.23,1461.43,0,116.62
3,31.8,57.59,7.42,16.93,1109.32,0,20.0
4,21.68,91.66,14.21,0.0,1611.64,0,146.75
5,23.89,55.76,9.98,7.53,1392.09,0,110.92
6,35.21,81.28,14.97,3.27,1630.93,0,81.52
7,40.99,66.03,4.77,14.44,1542.72,0,187.6
8,11.54,79.48,5.78,0.0,1200.01,0,187.61
9,32.62,58.64,9.36,0.0,1749.59,0,155.94
10,23.0,66.19,20.18,0.09,1162.62,0,125.62
11,30.79,49.32,5.48,5.39,1658.78,0,141.08
12,30.38,38.63,5.82,0.0,1795.63,0,152.07
13,29.18,73.12,13.66,2.12,1564.07,0,116.19
14,33.84,16.92,20.32,0.0,852.99,0,136.85
15,22.57,47.81,14.79,3.77,1911.93,0,163.31
16,33.62,51.81,7.38,0.0,990.5,0,119.03
17,22.61,72.41,13.59,0.0,1830.01,0,148.11
18,31.46,25.51,11.81,2.22,1048.29,0,115.23
19,32.24,69.18,4.34,10.32,1621.23,0,52.11
20,34.96,74.19,11.95,0.0,1118.9,0,116.8
21,30.63,38.89,8.88,3.3,1379.53,0,95.46
22,31.69,57.42,9.51,4.37,1305.29,0,99.53
23,29.19,52.65,11.84,17.17,923.03,0,81.71
24,33.77,44.42,5.3,0.0,1057.14,0,103.29
25,31.16,59.69,8.7,1.09,1224.01,0,187.75
26,31.23,59.13,11.58,0.0,1107.91,0,97.57
27,26.98,58.52,14.1,7.86,1014.5,0,114.95
28,31.35,70.52,8.38,7.96,2215.32,0,146.67
29,21.83,39.93,16.14,5.83,1853.18,0,82.46
30,14.03,83.84,2.75,7.94,1850.69,0,128.55
31,20.6,36.81,5.63,0.47,740.04,0,59.7
32,33.62,58.23,0.0,0.0,1428.0,0,105.42
33,33.69,42.66,0.86,0.0,1104.31,0,105.97
34,29.32,80.26,9.87,0.0,1322.02,0,117.97
35,27.45,56.52,7.42,0.0,1459.61,0,68.67
36,29.19,53.39,16.4,13.25,1073.5,0,94.22
37,27.48,53.03,7.87,0.0,1523.47,0,138.5
38,32.17,61.2,7.78,9.56,746.97,0,158.44
39,32.87,55.1,7.21,0.0,1742.32,0,117.63
40,26.24,71.27,8.47,0.0,1276.54,0,107.26
41,21.0,64.44,6.97,10.42,991.39,0,153.14
42,32.12,63.52,8.91,0.0,1723.0,0,31.36
43,31.51,44.77,15.51,0.0,1855.17,0,90.61
44,25.68,56.62,5.23,0.0,1371.87,0,132.66
45,26.93,40.0,16.99,16.34,1110.45,0,198.76
46,23.94,23.96,11.75,0.0,1708.81,0,108.04
47,37.19,55.24,15.5,0.0,2288.09,0,85.52
48,25.74,76.25,10.02,0.0,955.59,0,144.89
49,23.37,57.16,5.59,19.85,1236.5,0,113.57
50,24.85,59.31,8.83,0.0,1126.87,0,134.81
51,27.98,47.32,2.36,0.0,1748.41,0,101.14
52,33.69,81.75,12.9,0.0,1613.32,0,115.76
53,31.46,56.69,11.24,0.0,1750.52,0,83.33
54,21.73,62.84,13.09,0.0,1921.01,0,140.2
55,29.38,52.41,12.56,5.73,2440.22,0,117.68
56,31.74,62.93,17.86,7.68,2214.0,0,156.88
57,32.03,50.86,14.51,0.0,1463.17,0,147.54
58,22.46,38.82,6.56,20.08,1241.43,0,87.75
59,39.66,70.83,8.09,0.0,945.81,0,99.98
60,35.83,66.8,13.63,0.0,1756.09,0,49.16
61,24.3,58.59,8.43,0.0,1472.8,0,98.22
62,17.61,77.91,8.85,12.42,2142.73,0,139.93
63,31.64,30.97,13.79,0.0,1627.66,0,217.17
64,21.92,59.59,6.71,0.0,1147.47,0,150.31
65,23.57,71.53,0.58,12.9,1170.72,0,134.52
66,23.28,61.02,19.81,7.45,1531.75,0,103.97
67,28.0,51.65,14.61,6.24,1425.88,0,120.42
68,35.2,42.68,8.19,0.0,1063.9,0,176.55
69,24.95,75.96,3.1,0.0,1793.46,0,139.89
70,20.32,63.37,8.71,0.0,1913.49,0,133.74
71,27.92,49.83,0.66,0.0,1047.2,0,103.36
72,29.33,70.72,8.17,7.86,1016.11,0,80.63
73,35.97,88.11,7.3,5.89,1371.46,0,77.9
74,19.98,67.87,20.8,0.58,1539.2,0,116.54
75,23.08,53.55,13.25,7.16,1713.2,0,98.68
76,15.86,54.79,11.17,1.45,1377.82,0,128.35
77,21.59,69.33,14.57,0.0,2429.56,0,88.1
78,29.47,49.1,6.99,0.0,1011.45,0,166.19
79,36.47,51.65,14.02,1.42,647.07,0,110.24
80,33.47,82.62,9.98,0.0,1100.74,0,109.55
81,25.26,59.69,1.94,0.0,1038.68,0,47.99
82,31.77,75.48,6.3,3.86,1060.21,0,132.2
83,22.77,75.64,14.23,9.7,1756.52,0,138.1
84,39.16,47.26,9.23,0.0,1683.1,0,106.64
85,33.58,55.64,9.02,0.0,2463.84,0,173.84
86,23.57,52.72,12.53,0.0,1937.55,0,153.06
87,29.13,70.12,10.1,12.81,1388.06,0,160.74
88,30.46,88.5,18.49,5.24,1550.17,0,125.21
89,26.24,67.62,15.3,5.99,1124.17,0,148.05
90,23.77,50.57,6.95,9.79,1193.81,0,62.79
91,31.02,51.7,10.07,0.0,1515.53,0,98.23
92,26.87,34.88,14.24,8.44,1286.86,0,102.45
93,26.83,50.19,2.52,13.19,2519.75,0,85.89
94,33.17,79.18,14.19,13.73,1682.98,0,138.85
95,28.47,80.54,8.93,19.1,1147.39,0,150.41
96,30.32,66.49,14.51,0.0,1010.91,0,166.23
97,29.23,27.01,13.73,0.0,2291.19,0,131.94
98,37.88,97.17,9.4,12.86,2285.17,0,108.64
99,35.71,38.34,11.74,21.96,908.06,0,93.11
100,38.1,57.24,6.19,0.0,955.99,0,134.66
101,36.27,71.11,9.19,0.0,1668.02,0,80.75
102,29.62,50.44,2.34,16.86,1502.42,0,110.52
103,35.93,65.5,4.28,7.31,1530.08,0,172.06
104,17.02,39.51,9.06,8.19,1439.36,0,169.5
105,22.3,38.17,17.04,0.0,866.87,0,93.97
106,25.62,86.2,10.18,5.85,992.76,0,149.61
107,25.84,39.64,14.49,0.0,1481.71,0,180.39
108,28.34,61.89,13.79,0.0,1727.7,0,156.46
109,25.85,33.96,13.52,3.19,1637.33,0,122.91
110,24.89,57.59,11.46,0.0,1796.56,0,97.71
111,20.17,79.23,11.79,12.47,1230.99,0,54.83
112,24.68,50.96,9.58,0.0,1439.7,0,118.88
113,29.82,43.99,13.3,0.0,2179.42,0,176.92
114,30.01,70.2,8.02,0.0,2117.0,0,113.83
115,29.77,64.27,4.47,0.0,1616.06,0,109.75
116,24.97,54.27,15.89,0.0,1653.17,0,121.32
117,32.01,47.26,9.95,0.0,1753.38,0,109.12
118,29.16,69.81,11.49,0.0,1665.2,0,129.96
119,27.94,65.2,13.71,0.0,794.46,0,90.0
120,20.26,60.99,14.86,8.7,1913.56,0,109.16
121,21.59,69.02,3.11,1.51,1388.68,0,145.9
122,27.34,63.68,4.96,0.0,1028.68,0,117.04
123,23.71,75.42,4.83,0.0,986.24,0,180.0
124,30.23,88.81,6.51,5.27,1673.37,0,59.32
125,33.77,50.66,15.19,5.55,1137.8,0,122.24
126,20.88,67.65,17.17,0.39,1547.77,0,133.6
127,34.1,36.76,10.36,0.0,1408.66,0,147.91
128,19.76,58.3,14.37,0.0,1588.56,0,106.34
129,25.04,57.41,8.57,0.0,1489.78,0,173.58
130,31.8,69.37,8.34,13.03,1492.84,0,132.28
131,23.65,60.83,10.93,0.0,2038.33,0,156.11
132,25.12,78.23,15.08,0.0,1942.88,0,192.34
133,37.07,78.14,8.94,0.54,1191.87,0,148.42
134,23.0,45.65,7.16,7.29,1230.21,0,88.94
135,31.09,89.09,9.71,7.09,1329.11,0,97.8
136,35.07,74.87,8.0,7.41,1902.38,0,111.43
137,24.65,32.77,5.98,19.86,1398.36,0,143.71
138,25.54,53.32,8.46,0.0,1538.85,0,195.08
139,27.55,48.53,12.31,0.0,1800.08,0,137.58
140,22.8,62.25,9.47,18.38,2659.82,0,187.39
141,24.25,38.75,13.98,0.0,1302.46,0,146.42
142,26.09,50.56,13.47,0.0,1487.89,0,146.97
